Investor Name,Investor Name URL,Number of Investments,Number of Exited Companies,Location,Investor Type,Description,Website,Twitter,Facebook,LinkedIn,Number of Portfolio Companies,Number of Lead Investments,Program Type,Next Application Deadline,Program Duration,Crunchbase Rank,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Omar Hamoui,https://www.crunchbase.com/person/omar-hamoui,14,2,"San Francisco, California, United States",Angel,"Omar Hamoui is a partner at Sequoia Capital, where he focuses on partnering with early stage companies. Prior to Sequoia, Omar founded and ran several companies in mobile software and services. At the time, he was frustrated by the lack of available options when it came to promoting and monetizing mobile products.  While working towards his MBA at the Wharton School, Omar began to think more seriously about the untapped potential of mobile advertising, and created AdMob to address this growing opportunity. Omar served as AdMob's CEO and a member of the company's board of directors from January 2006 through the company's acquisition by Google in May 2010. During his time at Google, Omar was a VP of mobile ads, responsible for the development and innovation of Google's mobile advertising products. After Google, Omar founded Churn Labs to incubate new startup teams and ideas. One of the teams which emerged from Churn Labs formed Maybe, Inc., a company focused on helping people make ",,http://twitter.com/omarh,,http://www.linkedin.com/pub/omar-hamoui/0/5/216,10,5,,,,"3,792",0.0,-0.1,-1.0
Lou Kerner,https://www.crunchbase.com/person/lou-kerner,14,5,"New York, New York, United States",Angel,"Lou Kerner is a Partner at Flight VC where he manages the Israeli Founders Syndicate on AngelList.  Lou is also the Founder and Managing Partner at The Social internet Fund, which invests in the primary or secondary shares of private social media or mobile companies.  Prior to starting the fund, Lou was the first private company Analyst on Wall Street at Wedbush Securities, where he was a Managing Director. While at Wedbush, Lou stated the first trading desk for private shares on Wall street.  Prior to Wedbush Lou was an active angel investor, ran one of the original social networks, Bolt.com, started the top level domain .tv and was an Equity Analyst at Goldman Sachs.  Lou holds an MBA from Stanford University Graduate School of Business and B.A. degree in Economics from University of California, Los Angeles.",,http://twitter.com/loukerner,http://www.facebook.com/secondshares,http://www.linkedin.com/in/loukerner,13,1,,,,"4,573",0.2,-0.1,-0.4
Samos Investments,https://www.crunchbase.com/organization/samos-investments,14,,"London, England, United Kingdom",Private Equity Firm,"Samos invests across a range of sectors including consumer internet, digital media, e-commerce, retail, and financial services/technology.",http://www.samos.uk.com,http://twitter.com/samosuk,https://www.facebook.com/ukcom,,12,2,,,,"4,754",0.1,-0.8,-2.0
Chris Kelly,https://www.crunchbase.com/person/chris-kelly,14,1,,Angel,"Chris Kelly is the Board Director of LOYAL3 .Chris Kelly is a Silicon Valley based attorney who represents innovative companies on privacy, security, safety and regulatory affairs. Most recently, Chris was a Democratic candidate for Attorney General of California.  As Facebook’s first Chief Privacy Officer, General Counsel, and Head of Global Public Policy, Chris helped build the company from its college roots to a service for everyone and worked with Attorney Generals in all 50 states to develop effective safeguards protecting children from online sexual predators. Education :  Georgetown BA in Government and Philosophy. Yale, MA in Political Science. Harvard  University JD .",,http://twitter.com/thatchriskelly,,http://www.linkedin.com/pub/chris-kelly/0/4/b5b,14,3,,,,"5,896",-0.2,-0.6,0.0
Karim Faris,https://www.crunchbase.com/person/karim-faris,14,3,"San Francisco, California, United States",Angel,"Karim is a partner at Google Ventures. He initially joined Google's corporate development team in 2008, the group responsible for all Mergers & Acquisitions. His primary areas of focus include Internet services, mobile and digital media. Prior to Google, Karim was a venture capitalist at Atlas Venture, where he worked on investments in software and Internet infrastructure.  Previously, he was Director of New Ventures at Level 3 Communications, responsible for evaluating new business opportunities and has led product development for the company's voice services.  Earlier in his career, Karim held various product and marketing roles at Intel, initially on the i486â„¢, and later as product manager for the PentiumÂ® Processor. He started his career at Siemens as a software engineer working on the first vehicle navigation system for BMW. Karim holds an MBA from the Harvard Business School, an MS in Electrical Engineering from the University of Michigan, and a BS in Computer Engine",,http://twitter.com/karimfaris,,http://www.linkedin.com/in/karimfaris,7,7,,,,"7,356",0.1,0.2,0.0
North Coast Technology Investors,https://www.crunchbase.com/organization/north-coast-technology-investors,14,2,"Ann Arbor, Michigan, United States",Venture Capital,North Coast's capitalization allows them to see a promising venture through all stages of their private funding needs.,http://www.northcoastvc.com,,,,9,3,,,,"10,949",0.4,1.2,1.9
Zernike Meta Ventures,https://www.crunchbase.com/organization/zernike-meta-ventures,14,2,"Terni, Umbria, Italy",Micro VC,Zernike Meta Ventures is an Italian group dedicated to the creation and acceleration of knowledge-based companies.,http://www.meta-group.com,http://twitter.com/META_Group,,http://www.linkedin.com/company/286583,12,4,,,,"11,230",0.5,0.0,-0.5
Thomas Ball,https://www.crunchbase.com/person/thomas-ball,14,4,"Austin, Texas, United States",Angel,"Thomas Ball is a founding general partner of Next Coast Ventures, a venture capital firm that focuses on early-stage information technology companies, with a primary focus on Internet, software and technology-enabled business and consumer services. Tom was previously at Austin Ventures from 2005-2015 where he served as a general partner. He was also the first investor in RetailMeNot, Inc. Prior to his involvement with Austin Ventures and RetailMeNot, Tom  founded a number of successful companies, including Openfield Technologies, which merged with Razorgator Interactive Group, where Tom was CEO, and eCoupons, where he was also CEO until the sale of the company to Lifeminders (NASDAQ: LFMN).",,http://twitter.com/tball11,,http://www.linkedin.com/profile/view?id=72176,9,7,,,,"11,806",0.0,-0.4,-1.1
Syncom Venture Partners,https://www.crunchbase.com/organization/syncom-venture-partners,14,3,"Silver Spring, Maryland, United States",Venture Capital,SYNCOM is a venture capital firm focused on early to mid-stage investments in the media and communications sectors.,http://www.syncom.com,,,,14,9,,,,"12,449",-0.2,-0.6,-1.0
John Dougery,https://www.crunchbase.com/person/john-dougery,14,3,"San Francisco, California, United States",Angel,"John has been a venture investor since 1997 following a successful decade long operating career in Silicon Valley.  He, co-founded Inventus in 2007 with Kanwal Rekhi and Samir Kumar following a long history co-investing together in great entrepreneurs with operations in Silicon Valley and India.  Inventus manages over $150 million across two funds focused on post-seed and Series A investments in emerging digital consumer and SaaS startups.   John has most recently helped lead investments in Vivu (ACQ: Polycom), Spotzot (Acq: Valassis), Dhingana (Acq: Rdio) ActivityHero, CreditSesame, FarFaria, Resilinc, Sokrati, and SysCloud.",,https://twitter.com/johndougery,https://www.facebook.com/jdougery,http://www.linkedin.com/in/johndougery,10,5,,,,"21,410",0.3,-0.3,-1.2
Kickstart Ventures,https://www.crunchbase.com/organization/kickstart-ventures,13,,"Mandaluyong, Cavite, Philippines",Venture Capital,"Kickstart Ventures provides funding, facilities, expertise and business connections for start-ups based in the Philippines.",http://www.kickstart.ph,http://twitter.com/Kickstartph,http://www.facebook.com/kickstartPH,,10,2,,,,"5,753",-0.1,-0.4,-1.0
Hanse Ventures,https://www.crunchbase.com/organization/hanse-ventures,13,,"Hamburg, Hamburg, Germany",Micro VC,"Hanse Ventures offers seed financing, mentoring, office space, and networking opportunities to internet companies.",http://www.hanseventures.com,http://twitter.com/HanseVentures,http://www.facebook.com/hanseventures,http://www.linkedin.com/company/hanse-ventures,11,,,,,"6,363",-0.1,0.8,4.1
CampVentures,https://www.crunchbase.com/organization/campventures,13,4,"Los Altos, California, United States",Venture Capital,CampVentures is a true seed-stage venture capital firm. They engage with great companies in their earliest stages of development. For such,http://www.campventures.com,,,,10,1,,,,"11,766",0.6,1.2,2.3
Arnon Dinur,https://www.crunchbase.com/person/arnon-dinur,13,,,Angel,"Arnon joined Greylock in 2009. Previously, Arnon spent seven years with SanDisk, the world leader in Flash memory cards, as Senior Vice President leading SanDisk’s mobile strategy. He joined SanDisk as part of the company’s $1.6 billion acquisition of Msystems in 2006. While at Msystems Arnon was Senior Vice President of Strategy and M&A. Prior to that Arnon was the Corporate Vice President and General Manager of the DiskOnKey division at Msystems.  Before joining Msystems Arnon was the co-founder of Contact Networks, a California based Software Company with worldwide operations.  He currently sits on the boards of Applicaster, CloudMade, Marqeta and SocialPoint. Arnon holds a BA in accounting and an L.LB in law, both from Tel Aviv University, and an MBA from the University of Texas at Austin.",,,,,6,2,,,,"12,202",0.1,-0.4,-0.5
Axel Springer,https://www.crunchbase.com/organization/axel-springer,12,,"Berlin, Berlin, Germany",,"Axel Springer is a media company engaged in publishing newspapers, magazines and digital sales channels.",http://www.axelspringer.de/en/index.html,http://twitter.com/axel_springer,https://de-de.facebook.com/AxelSpringerKarriere,https://www.linkedin.com/company/axel-springer-se,11,3,,,,592,0.2,3.1,3.2
The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,12,1,"Burbank, California, United States",,"The Walt Disney Company, with its subsidiaries and affiliates, is a diversified international family entertainment and media enterpise.",http://thewaltdisneycompany.com,https://twitter.com/WaltDisneyCo,https://www.facebook.com/pages/The-Walt-Disney-Company/152617231420573,http://www.linkedin.com/company/the-walt-disney-company,12,5,,,,"1,378",0.0,0.9,-0.2
VentureFriends,https://www.crunchbase.com/organization/venturefriends,12,,"Athens, Attiki, Greece",Venture Capital,VentureFriends is a Greece-based group of investors that funds early stage startups.,http://venturefriends.co/,https://twitter.com/VentureF_VC,https://www.facebook.com/venturefriends/,,12,3,,,,"4,703",-0.2,-0.8,1.6
Arjun Sethi,https://www.crunchbase.com/person/arjun-sethi,12,4,,Angel,"Arjun holds a B.A., History from University of Maryland, College Park.",,http://twitter.com/arjunsethi,http://www.facebook.com/arjunsethi,http://www.linkedin.com/in/asethi,12,,,,,"5,174",-0.1,-0.3,-1.7
Scott Friend,https://www.crunchbase.com/person/scott-friend,12,4,"Boston, Massachusetts, United States",Angel,"Scott joined Bain Capital Ventures in 2006 after selling the company he co-founded, ProfitLogic, to Oracle. ProfitLogic was the leader in the world of retail analytics and price optimization solutions. Through the experience of building ProfitLogic from its initial three founders to a 300 person global software and solutions business serving the retail industry, Scott had the opportunity to get to know many of the most influential executives in the retail and apparel brand world.  Not surprisingly, Scott’s areas of investment interest since joining BCV have revolved around the retail ecosystem, both online and offline as well as the convergence of the two, and he finds himself splitting time between New York City and Boston. Prior to Bain Capital Ventures, Scott was Chairman of the Executive Advisory Board and VP of Marketing & Science for Oracle Retail.Prior to its acquisition by Oracle in 2005, Scott was the President and co-founder of ProfitLogic which was a Bain Capital portf",,,https://www.facebook.com/scott.c.friend?fref=ts,http://www.linkedin.com/in/scottcfriend,9,6,,,,"6,513",-0.1,0.0,1.4
Serguei Netessine,https://www.crunchbase.com/person/serguei-netessine,12,2,,Angel,"Serguei Netessine is a Professor at INSEAD, author and speaker on innovation. Serguei Netessine is The Timken Chaired Professor of Global Technology and Innovation at INSEAD and the Research Director of the INSEAD-Wharton alliance.  Prior to joining INSEAD in 2010, he has been a faculty member at the Wharton School, University of Pennsylvania.  Prof. Netessine received BS/MS degrees in Computer Science and Electrical Engineering from Moscow Institute of Electronic Technology and, after working for Motorola and Lucent Technologies, he also received MS/Ph.D. degrees in Operations Management from the University of Rochester.  His current research focuses on business model innovation and operational excellence and he worked on these topics with numerous organizations including Federal Aviation Administration (USA), Lockheed Martin, Procter & Gamble, McDonald’s, Rolls Royce, Comcast, Expedia, ABB and US Air Force.  He serves on advisory boards of multiple startup companies and regular",,http://twitter.com/snetesin,,http://www.linkedin.com/pub/serguei-netessine/2/533/304,10,,,,,"9,626",-0.2,-0.6,-0.9
